T,RH,AH,,,,,,,,,,,,,,
17.9,45.9,0.9342,,,,,,,,,,,,,,
16.7,48.9,0.9226,,,,,,,,,,,,,,
15.5,52.9,0.9271,,,,,,,,,,,,,,
15.5,51.9,0.9059,,,,,,,,,,,,,,
14.1,55.6,0.8910,,,,,,,,,,,,,,
13.1,57.9,0.8666,,,,,,,,,,,,,,
12.7,57.9,0.8447,,,,,,,,,,,,,,
11.8,58.0,0.8026,,,,,,,,,,,,,,
11.9,57.4,0.7978,,,,,,,,,,,,,,
9.9,65.2,0.7956,,,,,,,,,,,,,,
11.1,60.2,0.7958,,,,,,,,,,,,,,
14.1,50.0,0.8020,,,,,,,,,,,,,,
17.7,40.1,0.8048,,,,,,,,,,,,,,
21.1,33.4,0.8265,,,,,,,,,,,,,,
24.3,28.3,0.8471,,,,,,,,,,,,,,
25.6,25.6,0.8254,,,,,,,,,,,,,,
25.9,25.9,0.8503,,,,,,,,,,,,,,
26.8,18.7,0.6500,,,,,,,,,,,,,,
29.3,15.8,0.6309,,,,,,,,,,,,,,
28.5,14.9,0.5708,,,,,,,,,,,,,,
25.9,16.0,0.5237,,,,,,,,,,,,,,
23.1,26.5,0.7403,,,,,,,,,,,,,,
20.5,38.2,0.9133,,,,,,,,,,,,,,
19.1,42.6,0.9294,,,,,,,,,,,,,,
17.2,44.1,0.8558,,,,,,,,,,,,,,
16.0,50.9,0.9206,,,,,,,,,,,,,,
14.8,53.9,0.9024,,,,,,,,,,,,,,
14.3,55.4,0.8975,,,,,,,,,,,,,,
14.8,52.1,0.8686,,,,,,,,,,,,,,
13.9,53.9,0.8501,,,,,,,,,,,,,,
11.6,61.9,0.8442,,,,,,,,,,,,,,
12.0,58.9,0.8233,,,,,,,,,,,,,,
10.9,62.1,0.8113,,,,,,,,,,,,,,
10.6,63.3,0.8067,,,,,,,,,,,,,,
11.5,60.0,0.8117,,,,,,,,,,,,,,
14.3,50.6,0.8186,,,,,,,,,,,,,,
17.8,40.5,0.8210,,,,,,,,,,,,,,
20.8,34.4,0.8365,,,,,,,,,,,,,,
23.8,28.2,0.8219,,,,,,,,,,,,,,
24.2,28.7,0.8515,,,,,,,,,,,,,,
25.2,24.9,0.7829,,,,,,,,,,,,,,
27.0,17.8,0.6275,,,,,,,,,,,,,,
27.1,23.1,0.8180,,,,,,,,,,,,,,
25.8,23.9,0.7832,,,,,,,,,,,,,,
23.0,26.8,0.7446,,,,,,,,,,,,,,
20.7,31.1,0.7523,,,,,,,,,,,,,,
18.6,36.2,0.7676,,,,,,,,,,,,,,
16.0,48.4,0.8768,,,,,,,,,,,,,,
14.5,57.8,0.9456,,,,,,,,,,,,,,
13.1,64.2,0.9606,,,,,,,,,,,,,,
12.0,69.7,0.9735,,,,,,,,,,,,,,
11.9,71.1,0.9915,,,,,,,,,,,,,,
12.5,69.3,1.0029,,,,,,,,,,,,,,
12.5,67.5,0.9768,,,,,,,,,,,,,,
12.3,67.7,0.9665,,,,,,,,,,,,,,
12.5,66.8,0.9620,,,,,,,,,,,,,,
12.3,66.3,0.9487,,,,,,,,,,,,,,
12.4,64.9,0.9332,,,,,,,,,,,,,,
13.0,61.6,0.9209,,,,,,,,,,,,,,
13.6,58.8,0.9120,,,,,,,,,,,,,,
13.9,57.1,0.9032,,,,,,,,,,,,,,
14.5,54.4,0.8917,,,,,,,,,,,,,,
15.5,50.1,0.8744,,,,,,,,,,,,,,
16.1,47.6,0.8655,,,,,,,,,,,,,,
16.3,47.1,0.8640,,,,,,,,,,,,,,
16.4,47.5,0.8791,,,,,,,,,,,,,,
16.1,50.2,0.9094,,,,,,,,,,,,,,
16.0,50.7,0.9142,,,,,,,,,,,,,,
15.8,50.3,0.8989,,,,,,,,,,,,,,
15.5,50.6,0.8840,,,,,,,,,,,,,,
15.4,51.4,0.8956,,,,,,,,,,,,,,
15.2,53.1,0.9117,,,,,,,,,,,,,,
14.7,57.6,0.9573,,,,,,,,,,,,,,
14.2,58.3,0.9380,,,,,,,,,,,,,,
13.8,57.9,0.9085,,,,,,,,,,,,,,
13.9,55.9,0.8842,,,,,,,,,,,,,,
13.9,55.6,0.8765,,,,,,,,,,,,,,
13.8,55.1,0.8666,,,,,,,,,,,,,,
13.8,54.6,0.8574,,,,,,,,,,,,,,
13.6,55.1,0.8560,,,,,,,,,,,,,,
13.6,59.0,0.9129,,,,,,,,,,,,,,
13.5,58.4,0.8960,,,,,,,,,,,,,,
13.8,58.0,0.9083,,,,,,,,,,,,,,
14.6,53.1,0.8765,,,,,,,,,,,,,,
15.0,52.3,0.8881,,,,,,,,,,,,,,
15.4,52.1,0.9046,,,,,,,,,,,,,,
16.3,50.0,0.9158,,,,,,,,,,,,,,
17.1,47.9,0.9281,,,,,,,,,,,,,,
19.0,42.9,0.9370,,,,,,,,,,,,,,
19.5,42.3,0.9476,,,,,,,,,,,,,,
19.5,42.3,0.9493,,,,,,,,,,,,,,
19.1,43.8,0.9556,,,,,,,,,,,,,,
18.5,46.3,0.9744,,,,,,,,,,,,,,
17.4,51.6,1.0159,,,,,,,,,,,,,,
17.1,51.3,0.9914,,,,,,,,,,,,,,
16.4,53.8,0.9964,,,,,,,,,,,,,,
16.2,55.4,1.0132,,,,,,,,,,,,,,
15.9,57.7,1.0356,,,,,,,,,,,,,,
15.7,58.6,1.0396,,,,,,,,,,,,,,
15.1,60.9,1.0398,,,,,,,,,,,,,,
15.6,56.6,0.9951,,,,,,,,,,,,,,
15.2,57.9,0.9941,,,,,,,,,,,,,,
15.4,57.8,1.0021,,,,,,,,,,,,,,
14.9,60.6,1.0196,,,,,,,,,,,,,,
14.5,63.0,1.0316,,,,,,,,,,,,,,
14.2,66.2,1.0630,,,,,,,,,,,,,,
14.5,65.3,1.0704,,,,,,,,,,,,,,
15.3,62.1,1.0730,,,,,,,,,,,,,,
16.3,59.0,1.0868,,,,,,,,,,,,,,
18.9,49.6,1.0700,,,,,,,,,,,,,,
19.4,46.1,1.0249,,,,,,,,,,,,,,
20.8,41.6,1.0091,,,,,,,,,,,,,,
21.4,40.3,1.0126,,,,,,,,,,,,,,
21.2,39.3,0.9791,,,,,,,,,,,,,,
20.3,38.0,0.8942,,,,,,,,,,,,,,
19.4,41.3,0.9206,,,,,,,,,,,,,,
18.5,43.8,0.9252,,,,,,,,,,,,,,
17.8,48.1,0.9689,,,,,,,,,,,,,,
17.9,46.9,0.9520,,,,,,,,,,,,,,
17.4,49.1,0.9688,,,,,,,,,,,,,,
17.0,51.7,0.9914,,,,,,,,,,,,,,
16.4,55.1,1.0198,,,,,,,,,,,,,,
16.1,60.0,1.0919,,,,,,,,,,,,,,
15.8,60.5,1.0805,,,,,,,,,,,,,,
16.3,57.0,1.0491,,,,,,,,,,,,,,
16.9,53.9,1.0309,,,,,,,,,,,,,,
16.1,55.9,1.0153,,,,,,,,,,,,,,
16.5,53.9,1.0049,,,,,,,,,,,,,,
16.4,54.0,0.9979,,,,,,,,,,,,,,
15.7,57.6,1.0195,,,,,,,,,,,,,,
15.8,53.7,0.9571,,,,,,,,,,,,,,
17.4,42.1,0.8281,,,,,,,,,,,,,,
17.9,38.4,0.7793,,,,,,,,,,,,,,
18.5,36.7,0.7764,,,,,,,,,,,,,,
21.0,29.6,0.7263,,,,,,,,,,,,,,
21.3,28.1,0.7067,,,,,,,,,,,,,,
21.3,26.1,0.6539,,,,,,,,,,,,,,
21.3,26.8,0.6681,,,,,,,,,,,,,,
21.3,24.2,0.6060,,,,,,,,,,,,,,
20.2,28.5,0.6682,,,,,,,,,,,,,,
17.0,43.1,0.8264,,,,,,,,,,,,,,
15.6,47.4,0.8347,,,,,,,,,,,,,,
15.3,47.4,0.8178,,,,,,,,,,,,,,
14.5,49.7,0.8177,,,,,,,,,,,,,,
13.9,52.0,0.8231,,,,,,,,,,,,,,
14.5,49.4,0.8106,,,,,,,,,,,,,,
13.8,51.4,0.8071,,,,,,,,,,,,,,
14.0,51.3,0.8163,,,,,,,,,,,,,,
13.0,56.8,0.8444,,,,,,,,,,,,,,
11.0,70.0,0.9215,,,,,,,,,,,,,,
10.1,76.8,0.9483,,,,,,,,,,,,,,
8.8,80.5,0.9147,,,,,,,,,,,,,,
9.6,75.4,0.9004,,,,,,,,,,,,,,
9.8,75.0,0.9093,,,,,,,,,,,,,,
10.0,74.2,0.9117,,,,,,,,,,,,,,
11.2,69.7,0.9232,,,,,,,,,,,,,,
12.0,62.9,0.8803,,,,,,,,,,,,,,
12.8,55.8,0.8210,,,,,,,,,,,,,,
13.1,54.8,0.8234,,,,,,,,,,,,,,
13.8,53.4,0.8351,,,,,,,,,,,,,,
16.0,42.4,0.7674,,,,,,,,,,,,,,
14.1,49.8,0.7971,,,,,,,,,,,,,,
12.0,61.1,0.8537,,,,,,,,,,,,,,
13.6,54.6,0.8465,,,,,,,,,,,,,,
13.7,49.5,0.7695,,,,,,,,,,,,,,
11.7,57.1,0.7822,,,,,,,,,,,,,,
11.5,58.2,0.7867,,,,,,,,,,,,,,
12.6,54.2,0.7881,,,,,,,,,,,,,,
12.0,54.9,0.7664,,,,,,,,,,,,,,
11.0,61.4,0.8057,,,,,,,,,,,,,,
11.1,62.2,0.8199,,,,,,,,,,,,,,
10.8,62.5,0.8082,,,,,,,,,,,,,,
11.3,60.0,0.8025,,,,,,,,,,,,,,
10.6,61.6,0.7856,,,,,,,,,,,,,,
10.2,62.7,0.7813,,,,,,,,,,,,,,
10.9,58.6,0.7628,,,,,,,,,,,,,,
10.8,57.2,0.7382,,,,,,,,,,,,,,
10.4,59.2,0.7455,,,,,,,,,,,,,,
11.0,57.3,0.7501,,,,,,,,,,,,,,
11.2,56.9,0.7565,,,,,,,,,,,,,,
12.1,54.9,0.7734,,,,,,,,,,,,,,
15.1,44.3,0.7535,,,,,,,,,,,,,,
15.6,40.6,0.7146,,,,,,,,,,,,,,
16.9,34.6,0.6597,,,,,,,,,,,,,,
16.6,35.6,0.6697,,,,,,,,,,,,,,
11.3,63.9,0.8554,,,,,,,,,,,,,,
9.6,81.1,0.9720,,,,,,,,,,,,,,
11.7,69.1,0.9497,,,,,,,,,,,,,,
10.7,68.5,0.8794,,,,,,,,,,,,,,
10.7,67.3,0.8643,,,,,,,,,,,,,,
10.8,65.7,0.8486,,,,,,,,,,,,,,
10.3,66.3,0.8336,,,,,,,,,,,,,,
10.1,66.9,0.8248,,,,,,,,,,,,,,
10.4,61.1,0.7717,,,,,,,,,,,,,,
10.3,59.9,0.7516,,,,,,,,,,,,,,
11.0,58.4,0.7686,,,,,,,,,,,,,,
9.1,68.1,0.7890,,,,,,,,,,,,,,
9.5,68.2,0.8091,,,,,,,,,,,,,,
9.3,72.3,0.8496,,,,,,,,,,,,,,
9.9,66.8,0.8152,,,,,,,,,,,,,,
7.6,83.2,0.8695,,,,,,,,,,,,,,
8.1,79.0,0.8544,,,,,,,,,,,,,,
8.7,74.6,0.8429,,,,,,,,,,,,,,
8.6,75.1,0.8415,,,,,,,,,,,,,,
9.7,69.7,0.8389,,,,,,,,,,,,,,
11.0,64.4,0.8447,,,,,,,,,,,,,,
13.6,53.0,0.8209,,,,,,,,,,,,,,
14.2,48.4,0.7780,,,,,,,,,,,,,,
14.2,46.3,0.7438,,,,,,,,,,,,,,
16.0,41.3,0.7462,,,,,,,,,,,,,,
17.7,35.4,0.7094,,,,,,,,,,,,,,
17.1,37.4,0.7225,,,,,,,,,,,,,,
14.9,40.5,0.6835,,,,,,,,,,,,,,
13.4,47.8,0.7293,,,,,,,,,,,,,,
12.6,52.5,0.7642,,,,,,,,,,,,,,
12.2,53.2,0.7555,,,,,,,,,,,,,,
10.6,56.1,0.7140,,,,,,,,,,,,,,
9.9,59.5,0.7276,,,,,,,,,,,,,,
9.6,61.1,0.7323,,,,,,,,,,,,,,
9.7,61.6,0.7425,,,,,,,,,,,,,,
9.4,62.6,0.7398,,,,,,,,,,,,,,
8.2,68.5,0.7455,,,,,,,,,,,,,,
8.0,69.4,0.7459,,,,,,,,,,,,,,
7.7,72.4,0.7655,,,,,,,,,,,,,,
8.0,71.8,0.7711,,,,,,,,,,,,,,
8.5,66.3,0.7375,,,,,,,,,,,,,,
9.8,59.6,0.7214,,,,,,,,,,,,,,
11.2,57.0,0.7544,,,,,,,,,,,,,,
14.8,44.1,0.7407,,,,,,,,,,,,,,
16.8,35.3,0.6729,,,,,,,,,,,,,,
19.2,27.1,0.5976,,,,,,,,,,,,,,
19.1,26.2,0.5741,,,,,,,,,,,,,,
16.3,30.8,0.5683,,,,,,,,,,,,,,
14.2,36.8,0.5922,,,,,,,,,,,,,,
13.4,41.0,0.6292,,,,,,,,,,,,,,
14.2,43.3,0.6982,,,,,,,,,,,,,,
12.1,45.6,0.6403,,,,,,,,,,,,,,
10.4,48.0,0.6046,,,,,,,,,,,,,,
10.0,51.1,0.6280,,,,,,,,,,,,,,
9.8,50.8,0.6172,,,,,,,,,,,,,,
9.7,50.4,0.6063,,,,,,,,,,,,,,
9.9,50.2,0.6103,,,,,,,,,,,,,,
9.4,53.4,0.6300,,,,,,,,,,,,,,
8.6,57.8,0.6488,,,,,,,,,,,,,,
8.1,62.1,0.6746,,,,,,,,,,,,,,
7.9,63.5,0.6777,,,,,,,,,,,,,,
7.4,64.8,0.6683,,,,,,,,,,,,,,
8.2,58.9,0.6444,,,,,,,,,,,,,,
6.3,66.6,0.6410,,,,,,,,,,,,,,
7.2,62.9,0.6396,,,,,,,,,,,,,,
7.2,63.9,0.6500,,,,,,,,,,,,,,
11.1,50.5,0.6654,,,,,,,,,,,,,,
15.5,36.1,0.6313,,,,,,,,,,,,,,
17.8,29.2,0.5920,,,,,,,,,,,,,,
17.6,30.1,0.6013,,,,,,,,,,,,,,
19.1,26.8,0.5861,,,,,,,,,,,,,,
17.7,28.6,0.5735,,,,,,,,,,,,,,
17.8,28.4,0.5737,,,,,,,,,,,,,,
18.7,26.0,0.5555,,,,,,,,,,,,,,
17.1,31.3,0.6038,,,,,,,,,,,,,,
15.8,36.1,0.6440,,,,,,,,,,,,,,
14.7,40.1,0.6657,,,,,,,,,,,,,,
13.6,44.9,0.6991,,,,,,,,,,,,,,
12.5,48.1,0.6946,,,,,,,,,,,,,,
11.8,50.8,0.7042,,,,,,,,,,,,,,
10.9,56.1,0.7326,,,,,,,,,,,,,,
10.9,55.9,0.7277,,,,,,,,,,,,,,
10.3,58.1,0.7278,,,,,,,,,,,,,,
9.3,62.2,0.7294,,,,,,,,,,,,,,
8.2,66.7,0.7276,,,,,,,,,,,,,,
8.3,64.9,0.7124,,,,,,,,,,,,,,
9.6,58.5,0.7000,,,,,,,,,,,,,,
7.7,66.4,0.6990,,,,,,,,,,,,,,
7.4,68.0,0.7043,,,,,,,,,,,,,,
9.7,58.6,0.7035,,,,,,,,,,,,,,
12.5,50.1,0.7242,,,,,,,,,,,,,,
16.8,36.9,0.7018,,,,,,,,,,,,,,
19.2,31.3,0.6887,,,,,,,,,,,,,,
21.3,26.4,0.6607,,,,,,,,,,,,,,
21.2,23.1,0.5768,,,,,,,,,,,,,,
18.6,25.0,0.5319,,,,,,,,,,,,,,
18.0,27.3,0.5594,,,,,,,,,,,,,,
18.2,28.3,0.5848,,,,,,,,,,,,,,
17.0,31.4,0.6048,,,,,,,,,,,,,,
15.6,35.0,0.6170,,,,,,,,,,,,,,
14.1,40.2,0.6438,,,,,,,,,,,,,,
13.4,43.2,0.6623,,,,,,,,,,,,,,
12.3,46.8,0.6686,,,,,,,,,,,,,,
11.9,46.5,0.6449,,,,,,,,,,,,,,
11.5,46.6,0.6319,,,,,,,,,,,,,,
10.6,48.0,0.6135,,,,,,,,,,,,,,
10.7,45.8,0.5895,,,,,,,,,,,,,,
10.4,46.6,0.5901,,,,,,,,,,,,,,
10.1,47.8,0.5913,,,,,,,,,,,,,,
11.3,46.9,0.6280,,,,,,,,,,,,,,
10.1,51.2,0.6341,,,,,,,,,,,,,,
9.9,50.7,0.6167,,,,,,,,,,,,,,
8.1,56.8,0.6150,,,,,,,,,,,,,,
10.9,44.1,0.5748,,,,,,,,,,,,,,
11.8,37.6,0.5184,,,,,,,,,,,,,,
13.9,33.2,0.5222,,,,,,,,,,,,,,
15.6,30.1,0.5285,,,,,,,,,,,,,,
16.5,29.0,0.5406,,,,,,,,,,,,,,
17.5,27.9,0.5517,,,,,,,,,,,,,,
17.9,26.8,0.5446,,,,,,,,,,,,,,
18.2,26.1,0.5387,,,,,,,,,,,,,,
18.0,27.1,0.5522,,,,,,,,,,,,,,
17.0,28.9,0.5558,,,,,,,,,,,,,,
16.1,31.3,0.5680,,,,,,,,,,,,,,
14.5,35.4,0.5839,,,,,,,,,,,,,,
13.2,37.9,0.5733,,,,,,,,,,,,,,
13.1,34.4,0.5170,,,,,,,,,,,,,,
13.5,28.5,0.4405,,,,,,,,,,,,,,
12.4,31.9,0.4583,,,,,,,,,,,,,,
13.1,26.8,0.4023,,,,,,,,,,,,,,
11.6,33.6,0.4595,,,,,,,,,,,,,,
10.5,42.9,0.5442,,,,,,,,,,,,,,
11.7,38.7,0.5298,,,,,,,,,,,,,,
12.2,37.2,0.5277,,,,,,,,,,,,,,
12.9,33.9,0.5037,,,,,,,,,,,,,,
11.3,40.3,0.5376,,,,,,,,,,,,,,
11.9,38.4,0.5341,,,,,,,,,,,,,,
13.3,35.6,0.5416,,,,,,,,,,,,,,
16.3,28.8,0.5305,,,,,,,,,,,,,,
17.9,28.2,0.5741,,,,,,,,,,,,,,
18.3,26.6,0.5529,,,,,,,,,,,,,,
20.8,22.5,0.5463,,,,,,,,,,,,,,
22.4,20.0,0.5352,,,,,,,,,,,,,,
20.9,21.7,0.5295,,,,,,,,,,,,,,
19.1,26.5,0.5790,,,,,,,,,,,,,,
18.1,30.6,0.6295,,,,,,,,,,,,,,
17.3,34.7,0.6788,,,,,,,,,,,,,,
15.8,40.4,0.7228,,,,,,,,,,,,,,
15.9,42.0,0.7541,,,,,,,,,,,,,,
15.9,43.5,0.7790,,,,,,,,,,,,,,
15.0,46.1,0.7833,,,,,,,,,,,,,,
15.1,44.6,0.7574,,,,,,,,,,,,,,
14.9,43.5,0.7302,,,,,,,,,,,,,,
14.8,41.0,0.6850,,,,,,,,,,,,,,
14.8,40.8,0.6814,,,,,,,,,,,,,,
14.8,40.8,0.6834,,,,,,,,,,,,,,
14.2,36.1,0.5823,,,,,,,,,,,,,,
14.5,36.1,0.5928,,,,,,,,,,,,,,
14.6,36.0,0.5947,,,,,,,,,,,,,,
14.4,38.5,0.6291,,,,,,,,,,,,,,
13.8,58.2,0.9129,,,,,,,,,,,,,,
13.2,61.1,0.9256,,,,,,,,,,,,,,
10.4,74.4,0.9384,,,,,,,,,,,,,,
11.5,71.0,0.9582,,,,,,,,,,,,,,
12.2,70.0,0.9924,,,,,,,,,,,,,,
12.3,73.3,1.0442,,,,,,,,,,,,,,
11.3,78.1,1.0411,,,,,,,,,,,,,,
13.6,69.2,1.0746,,,,,,,,,,,,,,
14.9,59.3,0.9974,,,,,,,,,,,,,,
15.7,50.9,0.8997,,,,,,,,,,,,,,
15.2,52.9,0.9087,,,,,,,,,,,,,,
15.5,50.8,0.8881,,,,,,,,,,,,,,
14.3,52.9,0.8581,,,,,,,,,,,,,,
13.2,56.0,0.8446,,,,,,,,,,,,,,
12.6,57.0,0.8315,,,,,,,,,,,,,,
12.3,57.8,0.8224,,,,,,,,,,,,,,
12.0,58.4,0.8164,,,,,,,,,,,,,,
12.0,61.6,0.8593,,,,,,,,,,,,,,
11.5,63.9,0.8652,,,,,,,,,,,,,,
10.7,67.2,0.8630,,,,,,,,,,,,,,
9.0,73.1,0.8394,,,,,,,,,,,,,,
10.2,66.6,0.8299,,,,,,,,,,,,,,
11.0,63.7,0.8325,,,,,,,,,,,,,,
